Table1_ID,Table1_Name,Table2_ID_Match,Table2_Name_Match,Match_Method,Fuzzy_Score,LLM_Score
53834,"JOE JOLLY & CO., INC.",26474.0,JOE JOLLY AND CO INC,LLM Refined Fuzzy,89.0,0.9
64242,MCLINEY AND COMPANY,43755.0,MCLINEY AND CO,LLM Refined Fuzzy,85.0,0.9
71002,"MARTIN NELSON & CO., INC.",53839.0,MARTIN NELSON AND CO INC,LLM Refined Fuzzy,91.0,0.9
71260,ROTHSCHILD INC.,,,No Match,,
71260,ROTHSCHILD & CO US INC.,,,No Match,,
73956,"FIFTH THIRD SECURITIES, INC.",25284.0,FIFTH THIRD SECURITIES INC,LLM Refined Fuzzy,100.0,0.98
81909,"SAMUEL A. RAMIREZ & COMPANY, INC.",53313.0,SAMUEL A RAMIREZ AND CO INC,LLM Refined Fuzzy,84.0,0.9
84935,"ROOSEVELT & CROSS, INCORPORATED",30246.0,ROOSEVELT AND CROSS INC,LLM Refined Fuzzy,75.0,0.9
84935,"ROOSEVELT & CROSS, Inc",30246.0,ROOSEVELT AND CROSS INC,LLM Refined Fuzzy,90.0,0.9
90608,HERBERT J. SIMS & CO. INC.,32763.0,HERBERT J SIMS AND CO INC,LLM Refined Fuzzy,91.0,0.9
90608,"HERBERT J. SIMS & CO, INC.",32763.0,HERBERT J SIMS AND CO INC,LLM Refined Fuzzy,91.0,0.9
91154,CITIGROUP GLOBAL MARKETS INC.,32611.0,CITIGROUP GLOBAL MARKETS INC,LLM Refined Fuzzy,100.0,1.0
94403,"STIFEL, NICOLAUS & COMPANY, INCORPORATED",,,No Match,,
103623,OPPENHEIMER & CO. INC.,39033.0,OPPENHEIMER AND CO INC,LLM Refined Fuzzy,90.0,0.9
107136,"WILEY BROS.-AINTREE CAPITAL, LLC",31246.0,WILEY BROTHERS AINTREE CAPITAL LLC,LLM Refined Fuzzy,94.0,0.9
107136,&PARTNERS,,,No Match,,
107238,SOUTHSTATE|DUNCANWILLIAMS SECURITIES CORP.,,,No Match,,
108634,"WULFF, HANSEN & CO.",41059.0,WULFF HANSEN AND CO,LLM Refined Fuzzy,88.0,0.9
109309,B. C. ZIEGLER & Co,50449.0,BC ZIEGLER AND CO,LLM Refined Fuzzy,84.0,0.98
109309,B. C. ZIEGLER AND COMPANY,50449.0,BC ZIEGLER AND CO,LLM Refined Fuzzy,85.0,0.9
200401,JANNEY MONTGOMERY SCOTT LLC,29115.0,JANNEY MONTGOMERY SCOTT LLC,LLM Refined Fuzzy,100.0,1.0
201843,"FIRST TRYON SECURITIES, LLC",50704.0,FIRST TRYON SECURITIES LLC,LLM Refined Fuzzy,100.0,1.0
203129,"GREGORY J. SCHWARTZ & CO., INC.",,,No Match,,
215674,DOUGHERTY & COMPANY LLC,42016.0,DOUGHERTY AND CO LLC,LLM Refined Fuzzy,78.0,0.9
215674,COLLIERS SECURITIES LLC,72216.0,COLLIERS SECURITIES LLC,LLM Refined Fuzzy,100.0,1.0
225345,FIRST KENTUCKY SECURITIES CORPORATION,33322.0,FIRST KENTUCKY SECURITIES CORP,LLM Refined Fuzzy,90.0,0.85
225345,FIRST KENTUCKY SECURITIES Corp,33322.0,FIRST KENTUCKY SECURITIES CORP,LLM Refined Fuzzy,100.0,0.98
310436,MEKETA INVESTMENT GROUP INC                             /ADV,55376.0,INVESTMENT MANAGEMENT ADVISORY GROUP INC,LLM Refined Fuzzy,82.0,0.8
310436,MEKETA INVESTMENT GROUP INC /ADV,55376.0,INVESTMENT MANAGEMENT ADVISORY GROUP INC,Fuzzy Only (LLM low confidence),82.0,0.7
310695,"NORTHERN TRUST SECURITIES, INC.",66654.0,NORTHERN TRUST SECURITIES INC,LLM Refined Fuzzy,100.0,0.98
311887,"THE GMS GROUP, LLC",73915.0,THE GMS GROUP LLC,LLM Refined Fuzzy,100.0,0.98
311887,"GMS GROUP, LLC",46463.0,GMS GROUP LLC,LLM Refined Fuzzy,100.0,0.98
312603,"CREWS & ASSOCIATES, INC.",25472.0,CREWS AND ASSOCIATES INC,LLM Refined Fuzzy,91.0,0.98
313374,"POPULAR SECURITIES, LLC",45061.0,POPULAR SECURITIES INC,LLM Refined Fuzzy,91.0,0.9
314550,"CAPROCK SECURITIES, INC.",47074.0,CAPROCK SECURITIES INC,LLM Refined Fuzzy,100.0,0.98
320279,COMMERCE BANK,52899.0,COMMERCE BANK,LLM Refined Fuzzy,100.0,1.0
702007,"CALDWELL SUTTER CAPITAL, INC.",70437.0,CALDWELL SUTTER CAPITAL INC,LLM Refined Fuzzy,100.0,0.98
708804,PODESTA & CO.,,,No Match,,
712807,"MESIROW FINANCIAL, INC.",39567.0,MESIROW FINANCIAL INC,LLM Refined Fuzzy,100.0,0.98
724391,KEYBANC CAPITAL MARKETS INC.,50028.0,KEYBANC CAPITAL MARKETS,LLM Refined Fuzzy,92.0,0.98
724683,PIPER JAFFRAY & CO.,26667.0,PIPER JAFFRAY AND CO,LLM Refined Fuzzy,89.0,0.98
724683,PIPER SANDLER & CO.,72038.0,PIPER SANDLER,LLM Refined Fuzzy,90.0,0.98
724743,"RAYMOND JAMES & ASSOCIATES, INC.",29510.0,RAYMOND JAMES AND ASSOCIATES INC,LLM Refined Fuzzy,93.0,0.98
725649,KAISER AND COMPANY,33657.0,KAISER AND CO,LLM Refined Fuzzy,84.0,0.9
732115,PACIFIC COMMONWEALTH CORPORATION,,,No Match,,
733070,STERNE AGEE & LEACH INC,26561.0,STERNE AGEE AND LEACH INC,LLM Refined Fuzzy,91.0,0.98
734903,BANK OF OKLAHOMA NA /OK/ /MSD,,,No Match,,
738602,"OREC SECURITIES, LLC",71533.0,PMA SECURITIES LLC,LLM Refined Fuzzy,81.0,0.8
744360,"FIRST EMPIRE SECURITIES, INC.",40677.0,FIRST UNION SECURITIES INC,LLM Refined Fuzzy,75.0,0.85
748358,LAWSON FINANCIAL CORPORATION,52281.0,RANSON FINANCIAL CORP,LLM Refined Fuzzy,78.0,0.8
748532,"ROTH CAPITAL PARTNERS, LLC",59285.0,ZAC CAPITAL PARTNERS LLC,LLM Refined Fuzzy,86.0,0.85
752798,"PROEQUITIES, INC.",,,No Match,,
752798,"CONCOURSE FINANCIAL GROUP SECURITIES, INC.",73404.0,CONCOURSE FINANCIAL GROUP SECURITIES,LLM Refined Fuzzy,95.0,0.98
757657,STEPHENS INC /AR/,24607.0,STEPHENS INC,LLM Refined Fuzzy,89.0,0.9
764106,FIRST HAWAIIAN BANK,50381.0,FIRST NIAGARA BANK,Fuzzy Only (LLM low confidence),76.0,0.3
764650,STERN BROTHERS & CO.,39506.0,STERN BROTHERS AND CO,LLM Refined Fuzzy,89.0,0.98
768965,FIRST FINANCIAL EQUITY CORPORATION,,,No Match,,
769073,"PATRICK CAPITAL MARKETS, LLC",65730.0,MBS CAPITAL MARKETS LLC,LLM Refined Fuzzy,80.0,0.85
769993,GOLDMAN SACHS & CO,73822.0,GOLDMAN SACHS AND CO,LLM Refined Fuzzy,89.0,0.98
769993,GOLDMAN SACHS & CO. LLC,59617.0,GOLDMAN SACHS AND CO LLC,LLM Refined Fuzzy,91.0,0.98
776831,"MERCHANT CAPITAL, L.L.C.",24105.0,MERCHANT CAPITAL LLC,LLM Refined Fuzzy,90.0,0.98
778167,FROST BANK /MSD,58799.0,FROST BANK,LLM Refined Fuzzy,83.0,0.9
779015,THE HUNTINGTON INVESTMENT COMPANY,56631.0,HUNTINGTON INVESTMENT CO,LLM Refined Fuzzy,84.0,0.9
780131,SMITH HAYES FINANCIAL SERVICES Corp,25274.0,SMITH HAYES FINANCIAL SERVICES CORP,LLM Refined Fuzzy,100.0,1.0
780131,SMITH HAYES FINANCIAL SERVICES CORPORATION,69067.0,SMITH HAYES FINANCIAL SERVICES,LLM Refined Fuzzy,83.0,0.98
780789,"UMB FINANCIAL SERVICES, INC.",66425.0,UMB FINANCIAL SERVICES INC,LLM Refined Fuzzy,100.0,0.98
783480,"AVM, L.P.",,,No Match,,
784028,"ACADEMY SECURITIES, INC.",33871.0,APEX SECURITIES INC,LLM Refined Fuzzy,83.0,0.8
786671,"BOSC, INC.",34762.0,BOSC INC,LLM Refined Fuzzy,100.0,0.9
786671,"BOK FINANCIAL SECURITIES, INC.",69732.0,BOK FINANCIAL SECURITIES INC,LLM Refined Fuzzy,100.0,0.98
795361,"I.C. RIDEAU, LYONS & CO., INC",,,No Match,,
797595,ZIONS FIRST NATIONAL BANK /MSD,51148.0,ZIONS FIRST NATIONAL BANK,LLM Refined Fuzzy,93.0,0.98
797595,"ZB,N.A. /MSD",,,No Match,,
797595,"ZIONS BANCORPORATION,N.A. /MSD",,,No Match,,
800183,"STERNE AGEE FINANCIAL SERVICES, INC.",63259.0,FINANCIAL SERVICES INC,LLM Refined Fuzzy,79.0,0.8
800183,SA STONE WEALTH MANAGEMENT INC.,,,No Match,,
806220,"COOPER MALONE MCCLAIN, INC.",45827.0,COOPER MALONE MCCLAIN INC,LLM Refined Fuzzy,100.0,0.98
809450,HARRISON SECURITIES INC /BD,53579.0,HARRISON SECURITIES INC,LLM Refined Fuzzy,94.0,0.98
810878,"ESTRADA HINOJOSA & COMPANY, INC.",37422.0,ESTRADA HINOJOSA AND CO INC,LLM Refined Fuzzy,84.0,0.9
811095,THORNTON FARISH INC.,29015.0,THORNTON FARISH INC,LLM Refined Fuzzy,100.0,1.0
811506,OMNI FINANCIAL GROUP INC                                /BD,77570.0,NW FINANCIAL GROUP INC,LLM Refined Fuzzy,86.0,0.8
818652,"R.M.N. SECURITIES, INC.",62432.0,MFR SECURITIES INC,LLM Refined Fuzzy,89.0,0.8
820022,SCULLY CAPITAL SECURITIES CORP.,50244.0,SECURITIES CAPITAL CORP,LLM Refined Fuzzy,87.0,0.85
826354,"PRAGER & CO., LLC",65822.0,PRAGER AND CO LLC,LLM Refined Fuzzy,87.0,0.9
826550,"RICE SECURITIES, LLC",67561.0,H2C SECURITIES INC,LLM Refined Fuzzy,81.0,0.8
830013,US BANK NATIONAL ASSOCIATION,,,No Match,,
831157,"MULTI-BANK SECURITIES, INC.",53566.0,M AND T SECURITIES INC,LLM Refined Fuzzy,81.0,0.8
842941,Haverford Trust Co,,,No Match,,
846555,"LANCASTER POLLARD & CO., LLC",53350.0,LANCASTER POLLARD AND CO,LLM Refined Fuzzy,83.0,0.98
852427,"KANE, MCKENNA CAPITAL, INC.",30657.0,KANE MCKENNA CAPITAL INC,LLM Refined Fuzzy,100.0,0.9
853168,"MELVIN SECURITIES,  L.L.C.",59657.0,ALLUVION SECURITIES,Fuzzy Only (LLM low confidence),76.0,0.6
855713,"ROSS, SINCLAIRE & ASSOCIATES, LLC",53693.0,ROSS SINCLAIRE AND ASSOCIATES LLC,LLM Refined Fuzzy,94.0,0.98
857602,"HARBOR FINANCIAL SERVICES, LLC",51135.0,HARDEN FINANCIAL SERVICES INC,LLM Refined Fuzzy,83.0,0.8
858873,SISUNG SECURITIES CORPORATION,36783.0,SISUNG SECURITIES CORP,LLM Refined Fuzzy,86.0,0.9
858978,CAUSEY DEMGEN & MOORE PC/CO/ /ADV,51226.0,CAUSEY DEMGEN AND MOORE INC,LLM Refined Fuzzy,79.0,0.85
860540,ALAMO CAPITAL,52097.0,ALAMO CAPITAL,LLM Refined Fuzzy,100.0,1.0
861088,STARSHAK WINZENBURG & CO,69699.0,STARSHAK WINZENBURG AND CO,LLM Refined Fuzzy,92.0,0.98
868220,"CAIN BROTHERS & COMPANY, LLC",53858.0,CAIN BROTHERS AND CO LLC,LLM Refined Fuzzy,82.0,0.9
869783,SENTRY MANAGEMENT INC                                   /ADV,50050.0,SENTRY MANAGEMENT INC,LLM Refined Fuzzy,91.0,0.98
872049,"POWELL CAPITAL MARKETS, INC.",25838.0,POWELL CAPITAL MARKETS INC,LLM Refined Fuzzy,100.0,0.98
877538,L.J. HART AND COMPANY,43870.0,L J HART AND CO,LLM Refined Fuzzy,86.0,0.9
882027,FISHKIND & ASSOCIATES INC                               /ADV,49973.0,FISHKIND AND ASSOCIATES INC,LLM Refined Fuzzy,96.0,0.9
882357,GATES CAPITAL CORPORATION,26772.0,GATES CAPITAL CORP,LLM Refined Fuzzy,84.0,0.9
887777,DAVENPORT & Co LLC,29514.0,DAVENPORT AND CO LLC,LLM Refined Fuzzy,89.0,0.98
888530,"ENGLISH CONCEPTS, INC.",,,No Match,,
891055,"SOUTHWEST SECURITIES, INC.",26646.0,SOUTHWEST SECURITIES INC,LLM Refined Fuzzy,100.0,0.98
891055,HILLTOP SECURITIES INC.,69093.0,HILLTOP SECURITIES INC,LLM Refined Fuzzy,100.0,1.0
891529,SUTTER SECURITIES INCORPORATED,28391.0,SUTTER SECURITIES INC,LLM Refined Fuzzy,82.0,0.9
899227,MANUFACTURERS & TRADERS TRUST CO,54891.0,MANUFACTURERS AND TRADERS TRUST CO,LLM Refined Fuzzy,94.0,0.9
913414,"BlackRock Institutional Trust Company, N.A.",,,No Match,,
914866,"THE WILLIAMS CAPITAL GROUP, L.P.",50716.0,WILLIAMS CAPITAL GROUP LP,LLM Refined Fuzzy,91.0,0.9
914912,"SECURITY CAPITAL BROKERAGE, INC.",,,No Match,,
914975,STURDIVANT & CO INC,,,No Match,,
920974,"BEEKMAN SECURITIES, INC.",53374.0,BEEKMAN SECURITIES,LLM Refined Fuzzy,90.0,0.98
922113,GEORGE K. BAUM & COMPANY,27311.0,GEORGE K BAUM AND CO,LLM Refined Fuzzy,78.0,0.9
922116,MACQUARIE CAPITAL (USA) INC.,66339.0,MACQUARIE CAPITAL USA INC,LLM Refined Fuzzy,100.0,0.98
923190,"CAROLINA MUNICIPAL SECURITIES, INC.",61251.0,CAROLINA MUNICIPAL SECURITIES INC,LLM Refined Fuzzy,100.0,0.98
933237,M&T SECURITIES INC /MSD/                                /MSD,53566.0,M AND T SECURITIES INC,LLM Refined Fuzzy,75.0,0.85
933237,"M&T Securities, Inc.",53566.0,M AND T SECURITIES INC,LLM Refined Fuzzy,90.0,0.9
935377,KUEHL CAPITAL CORPORATION,49946.0,KUEHL CAPITAL CORP,LLM Refined Fuzzy,84.0,0.9
945520,"SHEARSON FINANCIAL SERVICES, LLC",63259.0,FINANCIAL SERVICES INC,LLM Refined Fuzzy,75.0,0.8
947529,VANGUARD ADVISERS INC,,,No Match,,
948395,GVC CAPITAL LLC,,,No Match,,
949908,"LEWIS YOUNG ROBERTSON & BURNINGHAM, INC.",50661.0,LEWIS YOUNG ROBERTSON AND BURNINGHAM INC,LLM Refined Fuzzy,95.0,0.95
949908,"LRB PUBLIC FINANCE ADVISORS, INC.",77286.0,LRB PUBLIC FINANCE ADVISORS INC,LLM Refined Fuzzy,100.0,0.98
1005399,A.BRIDGE REALVEST SECURITIES CORPORATION,,,No Match,,
1006938,"NORTHLAND SECURITIES, INC.",40522.0,NORTHLAND SECURITIES INC,LLM Refined Fuzzy,100.0,0.98
1007095,NATIONAL PENN INVESTORS TRUST CO /PA,,,No Match,,
1009953,"GUGGENHEIM SECURITIES, LLC",,,No Match,,
1030411,"SIEBERT, BRANDFORD, SHANK & CO., L.L.C.",30703.0,SIEBERT BRANDFORD SHANK AND CO LLC,LLM Refined Fuzzy,88.0,0.85
1030411,"SIEBERT CISNEROS SHANK & CO., L.L.C.",69822.0,SIEBERT CISNEROS SHANK AND CO LLC,LLM Refined Fuzzy,91.0,0.9
1030411,"SIEBERT WILLIAMS SHANK & CO., LLC",71892.0,SIEBERT WILLIAMS SHANK AND CO LLC,LLM Refined Fuzzy,94.0,0.98
1034184,FARR MILLER & WASHINGTON LLC/DC,,,No Match,,
1035159,"Richard Brothers, Financial Advisors",67918.0,BITTEL FINANCIAL ADVISORS LLC,Fuzzy Only (LLM low confidence),75.0,0.7
1052158,"Ameritas Investment Company, LLC /ADV",25383.0,AMERITAS INVESTMENT CORP,LLM Refined Fuzzy,78.0,0.8
1052158,AMERITAS INVESTMENT CORP /NE/                           /ADV,25383.0,AMERITAS INVESTMENT CORP,LLM Refined Fuzzy,87.0,0.98
1054646,CAPE COD FIVE CENTS SAVINGS BANK,51422.0,CAPE COD FIVE CENTS SAVINGS BANK,LLM Refined Fuzzy,100.0,1.0
1054770,DAMON ROCQUE SECURITIES CORP\                           /BD,,,No Match,,
1065360,"PERKINS FUND MARKETING, L.L.C.",,,No Match,,
1078041,GOVERNMENT CAPITAL SECURITIES CORPORATION,45542.0,GOVERNMENT CAPITAL SECURITIES CORP,LLM Refined Fuzzy,91.0,0.9
1080381,CADENCE BANK NA,1571.0,COMMERCE BANK NA,LLM Refined Fuzzy,77.0,0.8
1086555,BREMER TRUST NATIONAL ASSOCIATION,,,No Match,,
1107071,EASTERN BANK /MSD,26654.0,EASTERN BANK,LLM Refined Fuzzy,86.0,0.9
1107071,EASTERN BANK MAG,26654.0,EASTERN BANK,LLM Refined Fuzzy,86.0,0.85
1109557,PROSPERO CAPITAL LLC,51330.0,PROVIDENT CAPITAL LLC,LLM Refined Fuzzy,78.0,0.8
1111585,"BROAD STREET CAPITAL MARKETS, LLC",30573.0,STATE STREET CAPITAL MARKETS LLC,LLM Refined Fuzzy,81.0,0.85
1111640,"WELLS NELSON & ASSOCIATES, L.L.C.",66452.0,WELLS NELSON AND ASSOCIATES,LLM Refined Fuzzy,82.0,0.98
1114667,Brown Advisory LLC,66884.0,BROWN ADVISORY LLC,LLM Refined Fuzzy,100.0,1.0
1116109,"MILLER BUCKFIRE & CO., LLC",68601.0,MILLER BUCKFIRE AND CO LLC,LLM Refined Fuzzy,92.0,0.98
1121881,COLORADO FINANCIAL SERVICE CORPORATION,,,No Match,,
1123374,"FORTRESS GROUP, INC.",,,No Match,,
1123374,TRAILMARK INC.,,,No Match,,
1129134,"W. R. TAYLOR & COMPANY, LLC",,,No Match,,
1129526,"MUNICIPAL CAPITAL MARKETS GROUP, INC.",39107.0,MUNICIPAL CAPITAL MARKETS GROUP INC,LLM Refined Fuzzy,100.0,0.98
1135105,"CAPITAL MANAGEMENT OF THE CAROLINAS, LLC",50842.0,COLUMBIA CAPITAL MANAGEMENT LLC,LLM Refined Fuzzy,80.0,0.8
1142495,WEDBUSH MORGAN SECURITIES INC,54883.0,WEDBUSH MORGAN SECURITIES INC,LLM Refined Fuzzy,100.0,1.0
1142495,WEDBUSH SECURITIES INC,62771.0,WEDBUSH SECURITIES INC,LLM Refined Fuzzy,100.0,1.0
1143263,FORUM CAPITAL SECURITIES LLC,50244.0,SECURITIES CAPITAL CORP,LLM Refined Fuzzy,82.0,0.8
1146119,"FIRST NATIONAL CAPITAL MARKETS, INC.",63777.0,FIRST NATIONAL CAPITAL MARKETS INC,LLM Refined Fuzzy,100.0,0.98
1146137,DENNING & COMPANY LLC,,,No Match,,
1146172,"WILLIS SECURITIES, INC.",23811.0,SWS SECURITIES INC,LLM Refined Fuzzy,87.0,0.85
1146172,"GALLAGHER SECURITIES, INC",62976.0,GEARY SECURITIES INC,LLM Refined Fuzzy,82.0,0.8
1146299,"XT CAPITAL PARTNERS, LLC",59285.0,ZAC CAPITAL PARTNERS LLC,LLM Refined Fuzzy,89.0,0.85
1166316,PRIMUNI LLC,,,No Match,,
1167348,"ARGENT TRUST COMPANY, N.A.",26472.0,ARGENT TRUST CO,LLM Refined Fuzzy,77.0,0.9
1172682,"JONES LANG LASALLE SECURITIES, LLC",,,No Match,,
1174078,"EK RILEY INVESTMENTS, LLC",,,No Match,,
1175989,"AMD CAPITAL, LLC",50803.0,CAPITAL ADVISORS LLC,LLM Refined Fuzzy,80.0,0.8
1178722,FITZGIBBON TOIGO & CO. LLC,,,No Match,,
1179004,MVISION PRIVATE EQUITY ADVISERS USA LLC,,,No Match,,
1179791,CIM INVESTMENT MANGEMENT INC,65719.0,CIM INVESTMENT MANAGEMENT INC,LLM Refined Fuzzy,98.0,1.0
1179791,CIM INVESTMENT MANAGEMENT INC,65719.0,CIM INVESTMENT MANAGEMENT INC,LLM Refined Fuzzy,100.0,1.0
1194643,"FTI CAPITAL ADVISORS, LLC",50803.0,CAPITAL ADVISORS LLC,LLM Refined Fuzzy,91.0,0.9
1208116,"BACKSTROM MCCARLEY BERRY & CO., LLC",38619.0,BACKSTROM MCCARLEY BERRY AND CO LLC,LLM Refined Fuzzy,94.0,0.98
1255435,CUMBERLAND ADVISORS INC,51114.0,CUMBERLAND ADVISORS INC,LLM Refined Fuzzy,100.0,1.0
1259968,UNION BANK & TRUST CO /NE/,73307.0,US BANK TRUST CO NA,LLM Refined Fuzzy,83.0,0.8
1261467,"SG AMERICAS SECURITIES, LLC",68692.0,SG AMERICAS SECURITIES LLC,LLM Refined Fuzzy,100.0,0.98
1265287,JEFFERIES LLC,67313.0,JEFFERIES LLC,LLM Refined Fuzzy,100.0,1.0
1280139,"PICKWICK CAPITAL PARTNERS, LLC",59285.0,ZAC CAPITAL PARTNERS LLC,LLM Refined Fuzzy,83.0,0.85
1282186,LOS ALAMOS NATIONAL BANK,,,No Match,,
1284557,HAMERSLEY PARTNERS LLC,63154.0,HFA PARTNERS LLC,LLM Refined Fuzzy,79.0,0.8
1289006,"AQUEDUCT CAPITAL GROUP, LLC",56002.0,ALTA CAPITAL GROUP LLC,LLM Refined Fuzzy,83.0,0.85
1302871,"TESSERA CAPITAL PARTNERS, LLC",59285.0,ZAC CAPITAL PARTNERS LLC,LLM Refined Fuzzy,85.0,0.85
1304359,"HERITAGE FINANCIAL SYSTEMS, INC.",,,No Match,,
1304359,"HERITAGE FINANCIAL SYSTEMS, LLC",,,No Match,,
1310237,"NAFA CAPITAL MARKETS, LLC",71289.0,JD CAPITAL MARKETS LLC,LLM Refined Fuzzy,83.0,0.85
1315785,"Essex Financial Services, Inc.",59759.0,CCS FINANCIAL SERVICES INC,LLM Refined Fuzzy,89.0,0.85
1321371,ICD SECURITIES INC.,67561.0,H2C SECURITIES INC,LLM Refined Fuzzy,89.0,0.85
1333702,"SAMCO CAPITAL MARKETS, INC.",56345.0,SAMCO CAPITAL MARKETS INC,LLM Refined Fuzzy,100.0,0.98
1336736,"CSP SECURITIES, LP",37669.0,COASTAL SECURITIES LLP,LLM Refined Fuzzy,82.0,0.8
1336973,"SECONDMARKET, INC.",,,No Match,,
1336973,"GENESIS GLOBAL TRADING, INC",,,No Match,,
1339265,MANN MANN JENSEN PARTNERS LP,,,No Match,,
1348807,"AGECROFT PARTNERS, LLC",70443.0,CTBH PARTNERS LLC,Fuzzy Only (LLM low confidence),79.0,0.7
1356238,NEWCASTLE DISTRIBUTORS LLC,,,No Match,,
1359291,MORGAN STANLEY & CO. LLC,65024.0,MORGAN STANLEY AND CO LLC,LLM Refined Fuzzy,91.0,0.98
1366298,"GSF CAPITAL MARKETS, LLC",71289.0,JD CAPITAL MARKETS LLC,LLM Refined Fuzzy,89.0,0.85
1383161,"BB&T SECURITIES, LLC",63725.0,TD SECURITIES LLC,LLM Refined Fuzzy,89.0,0.8
1383775,"HRC FUND ASSOCIATES, LLC",53118.0,FRASCA AND ASSOCIATES LLC,Fuzzy Only (LLM low confidence),75.0,0.6
1385340,"MACGREGOR GLOBAL INVESTMENTS, LLC",68454.0,VERAPATH GLOBAL INVESTMENTS LLC,LLM Refined Fuzzy,79.0,0.8
1388984,"INEO CAPITAL, LLC",51596.0,INNOVATIVE CAPITAL LLC,LLM Refined Fuzzy,79.0,0.85
1392668,"TRIAGO AMERICAS, INC.",,,No Match,,
1393115,"DREXEL HAMILTON, LLC",64347.0,DREXEL HAMILTON LLC,LLM Refined Fuzzy,100.0,0.98
1393677,"ALLUVION SECURITIES, LLC",59657.0,ALLUVION SECURITIES,LLM Refined Fuzzy,90.0,1.0
1398497,"CERTUSSECURITIES, INC.",,,No Match,,
1407215,"KIPLING JONES & CO., LTD.",68020.0,KIPLING JONES AND CO LTD,LLM Refined Fuzzy,91.0,0.9
1407917,"JPM ADVISORS, LLC",50803.0,CAPITAL ADVISORS LLC,LLM Refined Fuzzy,78.0,0.85
1411263,MOELIS & COMPANY LLC,,,No Match,,
1411263,Moelis & Co LLC,62584.0,MELIO AND CO LLC,LLM Refined Fuzzy,76.0,0.85
1411989,POWDER POINT FINANCIAL LLC,65698.0,SP YOUNT FINANCIAL LLC,LLM Refined Fuzzy,75.0,0.8
1415872,"STRATEGIC MARKETING SOLUTIONS LTD., LLC",,,No Match,,
1418210,"LEBENTHAL & CO., LLC",,,No Match,,
1426851,"Argent Advisors, Inc.",71257.0,ARGENT ADVISORS INC,LLM Refined Fuzzy,100.0,0.98
1427070,"First Allied Securities, Inc.",40677.0,FIRST UNION SECURITIES INC,LLM Refined Fuzzy,75.0,0.85
1427202,Busey Trust CO,,,No Match,,
1427202,Busey Bank,37210.0,KEY BANK,Fuzzy Only (LLM low confidence),78.0,0.3
1428242,ARGENT TRUST Co,26472.0,ARGENT TRUST CO,LLM Refined Fuzzy,100.0,1.0
1441779,FAIRMOUNT CAPITAL ADVISORS INC,50006.0,FAIRMOUNT CAPITAL ADVISORS INC,LLM Refined Fuzzy,100.0,1.0
1442175,"J.J.B. Hilliard, W.L. Lyons, LLC",60714.0,JJB HILLIARD WL LYONS LLC,LLM Refined Fuzzy,87.0,0.9
1442175,"W.L. Lyons, LLC",,,No Match,,
1445065,"BENJAMIN F. EDWARDS & COMPANY, INC.",,,No Match,,
1452684,"COASTAL SECURITIES, INC",23781.0,COASTAL SECURITIES INC,LLM Refined Fuzzy,100.0,0.98
1452684,COASTAL SECURITIES INC,23781.0,COASTAL SECURITIES INC,LLM Refined Fuzzy,100.0,1.0
1453599,JCRA FINANCIAL LLC,52178.0,C2 FINANCIAL LLC,LLM Refined Fuzzy,76.0,0.8
1463911,"YOUNG AMERICA CAPITAL, LLC",,,No Match,,
